MAGIC_TEXT!!!
VERSION:1
b3fdcbe;Héphaïstos Osiris grecque Dioné Héra
Orphée sphinx Deucalion Héphaïstos;67
Éole Charon Aphrodite satyre;62
Cronos satyre pégase;41
Créature créature Héphaïstos Cécrops Achille;39
35514bf4;Rhéa personnification Thésée Hadès folklore
5
Mythe dryade Dionysos sphinx;67
Mythe Énée satyre Diane Éros;69
Loki Éos Achille;56
Héros Yggdrasil Charon Thésée;82
Artémis Pluton Olympe Styx symbolisme;43
6d6f162a;Styx Poséidon Odin
10
Éos Neptune perséphone Deucalion Athéna;85
Loki Ovide Agamemnon;85
Mino Téthys Prométhée Dieu;68
Deucalion mino dryade;57
Pâris Aphrodite Hermès Thésée Hadès;38
Folklore Hermès Poséidon Styx dryade;43
Odin Apollon Yggdrasil enfer pégase;87
Mythologique Deucalion Pluton Orphée;82
Odin Énée Ovide Téthys;70
Arès Deucalion indo-européen;79
fae399ff;Artémis déesse personnification
11
Diane Héraclès Éos Héraclès Junon;66
Ymir Odin sphinx;51
Éole Dionysos Dioné Ouranos Arès;46
Styx Léda Vulcain Pluton;87
Diane folklore Rhéa;69
Hélio Pluton Diane Artémis Déméter;41
Néréide Persée géant;39
Gaïa mino Arès folklore;85
Apollon Yggdrasil folklore Neptune;77
Thétis Pâris Olympe Panthéon Ulysse;36
Éos Gaïa Ovide Neptune créature;83
